stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\kubac\Documents\GitHub\AI\projekt_strzelanka2d\strzelanka\strzelanka_2d\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.15371] added dtor for sub_bitmap 000002338B2E2D00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15376] added dtor for sub_bitmap 000002338B2E2350, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15397] added dtor for sub_bitmap 000002338B2E36B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15406] added dtor for sub_bitmap 000002338B2E2730, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15413] added dtor for sub_bitmap 000002338B2E30E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15421] added dtor for sub_bitmap 000002338B2E2920, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15429] added dtor for sub_bitmap 000002338B2E2B10, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15434] added dtor for sub_bitmap 000002338B2E38A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15439] added dtor for sub_bitmap 000002338B2E3A90, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15444] added dtor for sub_bitmap 000002338B2E34C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15449] added dtor for sub_bitmap 000002338B2E3C80, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15453] added dtor for sub_bitmap 000002338B2E32D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15459] added dtor for sub_bitmap 000002338B2E3E70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15465] added dtor for sub_bitmap 000002338B2E4060, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15474] added dtor for sub_bitmap 000002338B2E5110, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15483] added dtor for sub_bitmap 000002338B2E5AC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15497] added dtor for sub_bitmap 000002338B2E5EA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15511] added dtor for sub_bitmap 000002338B2E5300, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15527] added dtor for sub_bitmap 000002338B2E5CB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15545] added dtor for sub_bitmap 000002338B2E6090, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15564] added dtor for sub_bitmap 000002338B2E56E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15584] added dtor for sub_bitmap 000002338B2E4B40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15607] added dtor for sub_bitmap 000002338B2E6280, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15636] added dtor for sub_bitmap 000002338B2E4D30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15653] added dtor for sub_bitmap 000002338B2E6470, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15668] added dtor for sub_bitmap 000002338B2E4F20, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15736] added dtor for sub_bitmap 000002338B2E58D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15762] added dtor for sub_bitmap 000002338B2E54F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15771] added dtor for sub_bitmap 000002338B2E4760, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15778] added dtor for sub_bitmap 000002338B2E4950, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15786] added dtor for sub_bitmap 000002338B8F6D20, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15793] added dtor for sub_bitmap 000002338B8F5010, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15799] added dtor for sub_bitmap 000002338B8F5200, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15805] added dtor for sub_bitmap 000002338B8F53F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15811] added dtor for sub_bitmap 000002338B8F6750, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15823] added dtor for sub_bitmap 000002338B8F6180, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15833] added dtor for sub_bitmap 000002338B8F57D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15838] added dtor for sub_bitmap 000002338B8F55E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15845] added dtor for sub_bitmap 000002338B8F59C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15850] added dtor for sub_bitmap 000002338B8F6940, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15854] added dtor for sub_bitmap 000002338B8F6370, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15859] added dtor for sub_bitmap 000002338B8F6B30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15868] added dtor for sub_bitmap 000002338B8F5DA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15883] added dtor for sub_bitmap 000002338B8F5BB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15910] added dtor for sub_bitmap 000002338B8F5F90, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15947] added dtor for sub_bitmap 000002338B8F6560, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15965] added dtor for sub_bitmap 000002338B2EB290, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15972] added dtor for sub_bitmap 000002338B2EACC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15981] added dtor for sub_bitmap 000002338B2EC5F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15990] added dtor for sub_bitmap 000002338B2EC210, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.15996] added dtor for sub_bitmap 000002338B2EAEB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16005] added dtor for sub_bitmap 000002338B2EBA50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16020] added dtor for sub_bitmap 000002338B2EB670, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16026] added dtor for sub_bitmap 000002338B2EB0A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16035] added dtor for sub_bitmap 000002338B2EB480, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16042] added dtor for sub_bitmap 000002338B2EAAD0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16048] added dtor for sub_bitmap 000002338B2EC7E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16054] added dtor for sub_bitmap 000002338B2EB860, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16060] added dtor for sub_bitmap 000002338B2EC020, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16065] added dtor for sub_bitmap 000002338B2EBC40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16070] added dtor for sub_bitmap 000002338B2EBE30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16074] added dtor for sub_bitmap 000002338B2EC400, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16080] added dtor for sub_bitmap 000002338B2ED2A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16085] added dtor for sub_bitmap 000002338B2ED680, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16089] added dtor for sub_bitmap 000002338B2ED870, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16093] added dtor for sub_bitmap 000002338B2ECEC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16096] added dtor for sub_bitmap 000002338B2EDA60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16099] added dtor for sub_bitmap 000002338B2EDE40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16103] added dtor for sub_bitmap 000002338B2ED490, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16110] added dtor for sub_bitmap 000002338B2EE030, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16116] added dtor for sub_bitmap 000002338B2EE220, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16124] added dtor for sub_bitmap 000002338B2EDC50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16129] added dtor for sub_bitmap 000002338B2EE410, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16135] added dtor for sub_bitmap 000002338B2EE600, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16140] added dtor for sub_bitmap 000002338B2EE7F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16146] added dtor for sub_bitmap 000002338B2ED0B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16151] added dtor for sub_bitmap 000002338B2ECAE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16157] added dtor for sub_bitmap 000002338B2ECCD0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16165] added dtor for sub_bitmap 000002338B8F77E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16169] added dtor for sub_bitmap 000002338B8F9110, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16175] added dtor for sub_bitmap 000002338B8F96E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16180] added dtor for sub_bitmap 000002338B8FAC30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16186] added dtor for sub_bitmap 000002338B8F7DB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16191] added dtor for sub_bitmap 000002338B8F7020, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16197] added dtor for sub_bitmap 000002338B8FA470, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16203] added dtor for sub_bitmap 000002338B8F79D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16208] added dtor for sub_bitmap 000002338B8F7BC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16213] added dtor for sub_bitmap 000002338B8FA660, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16220] added dtor for sub_bitmap 000002338B8F9CB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16226] added dtor for sub_bitmap 000002338B8F94F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16232] added dtor for sub_bitmap 000002338B8F7210, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16242] added dtor for sub_bitmap 000002338B8F7400, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16251] added dtor for sub_bitmap 000002338B8F9AC0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16261] added dtor for sub_bitmap 000002338B8F7FA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16266] added dtor for sub_bitmap 000002338B8F8190, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16273] added dtor for sub_bitmap 000002338B8F9300, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16279] added dtor for sub_bitmap 000002338B8F8B40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16286] added dtor for sub_bitmap 000002338B8FA850, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16292] added dtor for sub_bitmap 000002338B8F98D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16299] added dtor for sub_bitmap 000002338B8F9EA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16304] added dtor for sub_bitmap 000002338B8F8F20, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16310] added dtor for sub_bitmap 000002338B8F75F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16328] added dtor for sub_bitmap 000002338B8FA090, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16333] added dtor for sub_bitmap 000002338B8FA280, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16338] added dtor for sub_bitmap 000002338B8F8D30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16352] added dtor for sub_bitmap 000002338B8F8380, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16373] added dtor for sub_bitmap 000002338B8FAA40, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16392] added dtor for sub_bitmap 000002338B8F8570, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16400] added dtor for sub_bitmap 000002338B8F8760, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16405] added dtor for sub_bitmap 000002338B8F8950, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16413] added dtor for sub_bitmap 000002338B2E6AB0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16421] added dtor for sub_bitmap 000002338B2E7460, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16425] added dtor for sub_bitmap 000002338B2E6E90, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16430] added dtor for sub_bitmap 000002338B2E87C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16438] added dtor for sub_bitmap 000002338B2E8000, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16443] added dtor for sub_bitmap 000002338B2E7270, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16448] added dtor for sub_bitmap 000002338B2E7650, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16455] added dtor for sub_bitmap 000002338B2E6CA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16462] added dtor for sub_bitmap 000002338B2E85D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16469] added dtor for sub_bitmap 000002338B2E7080, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16474] added dtor for sub_bitmap 000002338B2E81F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16479] added dtor for sub_bitmap 000002338B2E7840, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16484] added dtor for sub_bitmap 000002338B2E7C20, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16492] added dtor for sub_bitmap 000002338B2E83E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16505] added dtor for sub_bitmap 000002338B2E7A30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16512] added dtor for sub_bitmap 000002338B2E7E10, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16521] added dtor for sub_bitmap 000002338B901520, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16528] added dtor for sub_bitmap 000002338B901900, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16541] added dtor for sub_bitmap 000002338B901AF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16554] added dtor for sub_bitmap 000002338B8FF810, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16566] added dtor for sub_bitmap 000002338B9005A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16575] added dtor for sub_bitmap 000002338B8FFFD0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16581] added dtor for sub_bitmap 000002338B902C60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16587] added dtor for sub_bitmap 000002338B900B70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16593] added dtor for sub_bitmap 000002338B901710, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16599] added dtor for sub_bitmap 000002338B9001C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16606] added dtor for sub_bitmap 000002338B9024A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16612] added dtor for sub_bitmap 000002338B900980, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16617] added dtor for sub_bitmap 000002338B902A70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16624] added dtor for sub_bitmap 000002338B901CE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16634] added dtor for sub_bitmap 000002338B902880, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16639] added dtor for sub_bitmap 000002338B8FFA00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16646] added dtor for sub_bitmap 000002338B8FFBF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16652] added dtor for sub_bitmap 000002338B8FFDE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16657] added dtor for sub_bitmap 000002338B901140, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16661] added dtor for sub_bitmap 000002338B901ED0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16665] added dtor for sub_bitmap 000002338B900D60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16670] added dtor for sub_bitmap 000002338B9003B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16676] added dtor for sub_bitmap 000002338B900F50, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16681] added dtor for sub_bitmap 000002338B9020C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16687] added dtor for sub_bitmap 000002338B901330, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16693] added dtor for sub_bitmap 000002338B8FF430, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16698] added dtor for sub_bitmap 000002338B900790, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16704] added dtor for sub_bitmap 000002338B9022B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16710] added dtor for sub_bitmap 000002338B902690, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16716] added dtor for sub_bitmap 000002338B8FF240, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16724] added dtor for sub_bitmap 000002338B8FF050, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16729] added dtor for sub_bitmap 000002338B8FF620, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16739] added dtor for sub_bitmap 000002338B904F60, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16745] added dtor for sub_bitmap 000002338B9041D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16750] added dtor for sub_bitmap 000002338B903A10, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16754] added dtor for sub_bitmap 000002338B9045B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16759] added dtor for sub_bitmap 000002338B9066A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16764] added dtor for sub_bitmap 000002338B904B80, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16768] added dtor for sub_bitmap 000002338B905340, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16774] added dtor for sub_bitmap 000002338B9043C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16780] added dtor for sub_bitmap 000002338B905530, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16784] added dtor for sub_bitmap 000002338B9047A0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16789] added dtor for sub_bitmap 000002338B905720, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16795] added dtor for sub_bitmap 000002338B903C00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16803] added dtor for sub_bitmap 000002338B905150, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16811] added dtor for sub_bitmap 000002338B903820, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16818] added dtor for sub_bitmap 000002338B906A80, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16824] added dtor for sub_bitmap 000002338B906890, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16830] added dtor for sub_bitmap 000002338B903060, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16835] added dtor for sub_bitmap 000002338B904990, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16839] added dtor for sub_bitmap 000002338B9060D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16848] added dtor for sub_bitmap 000002338B903DF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16856] added dtor for sub_bitmap 000002338B905CF0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16862] added dtor for sub_bitmap 000002338B906C70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16869] added dtor for sub_bitmap 000002338B903250, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16876] added dtor for sub_bitmap 000002338B903FE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16882] added dtor for sub_bitmap 000002338B905910, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16888] added dtor for sub_bitmap 000002338B904D70, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16894] added dtor for sub_bitmap 000002338B905B00, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16907] added dtor for sub_bitmap 000002338B903440, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16916] added dtor for sub_bitmap 000002338B905EE0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16921] added dtor for sub_bitmap 000002338B9062C0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16926] added dtor for sub_bitmap 000002338B9064B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16930] added dtor for sub_bitmap 000002338B903630, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16935] added dtor for sub_bitmap 000002338B90CC90, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16940] added dtor for sub_bitmap 000002338B909460, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16944] added dtor for sub_bitmap 000002338B90A000, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16950] added dtor for sub_bitmap 000002338B90C4D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16970] added dtor for sub_bitmap 000002338B90A9B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.16995] added dtor for sub_bitmap 000002338B90CAA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17022] added dtor for sub_bitmap 000002338B90B740, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17035] added dtor for sub_bitmap 000002338B90C8B0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17041] added dtor for sub_bitmap 000002338B909840, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17048] added dtor for sub_bitmap 000002338B909A30, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17054] added dtor for sub_bitmap 000002338B909C20, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17066] added dtor for sub_bitmap 000002338B90B170, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17107] added dtor for sub_bitmap 000002338B90B930, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17153] added dtor for sub_bitmap 000002338B90ABA0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17171] added dtor for sub_bitmap 000002338B909E10, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17186] added dtor for sub_bitmap 000002338B90AD90, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17194] added dtor for sub_bitmap 000002338B90C0F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17201] added dtor for sub_bitmap 000002338B90AF80, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17209] added dtor for sub_bitmap 000002338B909650, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17223] added dtor for sub_bitmap 000002338B90A1F0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17239] added dtor for sub_bitmap 000002338B90B550, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17270] added dtor for sub_bitmap 000002338B90C2E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17289] added dtor for sub_bitmap 000002338B909270, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17302] added dtor for sub_bitmap 000002338B90A3E0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17314] added dtor for sub_bitmap 000002338B90A5D0, func 00007FFA2C771190
dtor     D               dtor.c:196  _al_register_destructor          [   0.17322] added dtor for sub_bitmap 000002338B90BF00, func 00007FFA2C771190
